flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2023-02-14,14,23
Chocolate,Made with cocoa powder and Callebaut chocolate.,2023-02-14,14,23
Cookies and Cream,Vanilla ice cream with pieces of sandwich cookies.,2023-02-14,14,23
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2023-02-14,14,23
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2023-02-14,14,23
Honey Lavender,"Lavender flower water, local wildflower honey. This flavor will make you feel like you’re drifting through a field in Provence…or maybe that’s just us.",2023-02-14,14,23
Caramel Oreo,It’s caramel. With Oreos!,2023-02-14,14,23
White Chocolate Pistachio,White chocolate ice cream with lots of toasted salted pistachio pieces mixed in.,2023-02-14,14,23
Sweet Cream,"Local milk from Simply Natural Creamery, mixed with heavy cream. Ice cream in its simplest form. Perfect with hot fudge!",2023-02-14,14,23
Milk chocolate lavender,Callebaut milk chocolate ice cream with lavender flower water.,2023-02-14,14,23
Strawberry Oreo (Vegan),It’s strawberry. With Oreo! (Coconut/oat milk base.),2023-02-14,14,23
Apricot Sorbet (Vegan),NA,2023-02-14,14,23
Vegan Cherry Chip (Vegan),"Our coconut-milk-based ice cream alternative, made with Amarena cherries, cherry liqueur, and chocolate flakes.",2023-02-14,14,23
