flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2025-11-19,14,22
Chocolate,Made with cocoa powder and Callebaut chocolate.,2025-11-19,14,22
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2025-11-19,14,22
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2025-11-19,14,22
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk.,2025-11-19,14,22
Tea & Toast,London Fog ice cream with housemade toasted brioche and orange marmalade.,2025-11-19,14,22
Honey Butter Pretzel,A salted Irish butter and honey base with chunks of candied pretzel crunch.,2025-11-19,14,22
Brown Butter Walnut Brittle,Brown butter ice cream with chunks of white-chocolate-coated walnut brittle,2025-11-19,14,22
Sweet Potato Maple Miso,NC sweet potatoes are roasted and blended with pure maple syrup and mellow white miso for this fall flavor.,2025-11-19,14,22
Spiced Butter Rum Cake,"Made with spiced rum, warming spices, and booze-infused cake.",2025-11-19,14,22
Cranberry Pear Sorbet (Vegan),"Made with cranberry and pear purées, and a hint of lemon.",2025-11-19,14,22
Mexican Chocolate (Vegan),"Our (coconut-based) vegan chocolate flavor, with ancho chile, cinnamon, and cayenne pepper.",2025-11-19,14,22
Toasted Coconut Chai (Vegan),Our classic vegan toasted coconut ice cream with chai added to the base.,2025-11-19,14,22
