flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2024-09-15,14,15
Chocolate,Made with cocoa powder and Callebaut chocolate.,2024-09-15,14,15
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2024-09-15,14,15
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2024-09-15,14,15
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2024-09-15,14,15
Harvest Spice,"A brown sugar butterscotch base with cinnamon, ginger, nutmeg, and cloves.",2024-09-15,14,15
Butter Brickle,There’s a lot of different opinions about butter brickle ice cream…this one is made with Skor butter almond toffee.,2024-09-15,14,15
White Chocolate Orange,A smooth white chocolate and orange ice cream.,2024-09-15,14,15
Root Beer Float,"Vanilla bean ice cream and root beer ice cream, swirled together!",2024-09-15,14,15
Pineapple Coconut Upside Down Cake,"Made with coconut cream, housemade pineapple jam, and Chez Moi Bakery rum cake.",2024-09-15,14,15
Caramel Stracciatella (Vegan),A coconut cream+oat milk caramel base with housemade magic shell mixed in.,2024-09-15,14,15
Lemon Lime Sorbet (Vegan),🍋🍋‍🟩,2024-09-15,14,15
Coffee Cookies+Cream (Vegan),"Our vegan coconut cream base, with lots of espresso and crushed sandwich cookies.",2024-09-15,14,15
