flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2025-04-03,14,20
Chocolate,Made with cocoa powder and Callebaut chocolate.,2025-04-03,14,20
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2025-04-03,14,20
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2025-04-03,14,20
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2025-04-03,14,20
Guinness Cookie Gravel,Guinness stout ice cream with cookie gravel mixed in.,2025-04-03,14,20
Ginger Orange,Made with mandarin orange and ginger puree.,2025-04-03,14,20
Brown Butter Birthday Cake,A brown butter ice cream with pieces of vanilla buttercream-frosted chocolate cake and rainbow sprinkles.,2025-04-03,14,20
Malted Vanilla Cookie Crunch,Malted vanilla ice cream with housemade vanilla cookie crunch mixed in.,2025-04-03,14,20
Vegan Pistachio (Vegan),"A pea protein vegan ice cream, made with pure Italian pistachio paste.",2025-04-03,14,20
(Vegan) Girl Scout Mint (Vegan),Coconut-based peppermint “ice cream” with pieces of Thin Mint™ Girl Scout Cookies.,2025-04-03,14,20
Mango Sorbet (Vegan),NA,2025-04-03,14,20
