flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2023-11-12,14,24
Chocolate,Made with cocoa powder and Callebaut chocolate.,2023-11-12,14,24
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2023-11-12,14,24
Honey Lavender,"Lavender flower water, wildflower honey. This flavor will make you feel like you’re drifting through a field in Provence… or maybe that’s just us.",2023-11-12,14,24
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2023-11-12,14,24
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2023-11-12,14,24
Sweet Potato Crisp,Our classic NC sweet potato ice cream with homemade streusel mixed in.,2023-11-12,14,24
Apple pie,Made with NC apples and pieces of housemade pie crust!,2023-11-12,14,24
Pistachio,Made with 100% pure Sicilian pistachio paste.,2023-11-12,14,24
Vegan Chocolate (Vegan),Both semi-sweet and dark chocolate are melted into a coconut milk base for a super smooth and creamy vegan ice cream. Probably the best vegan ice cream we’ve made yet.,2023-11-12,14,24
Spiced Rum (Vegan),"Made with cinnamon, nutmeg, and spiced rum in a coconut base.",2023-11-12,14,24
Apple cider sorbet (Vegan),Made with apple cider and fresh apple purée.,2023-11-12,14,24
