flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2025-07-28,14,26
Chocolate,Made with cocoa powder and Callebaut chocolate.,2025-07-28,14,26
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2025-07-28,14,26
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2025-07-28,14,26
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2025-07-28,14,26
Andes Grasshopper,Fresh mint ice cream with pieces of Andes Crème de Menthe candies,2025-07-28,14,26
Blueberry Cheesecake,"Bahama Bluebs blueberries and cream cheese, with broken graham crackers mixed in.",2025-07-28,14,26
Banana pudding,Nilla wafer pieces in a banana ice cream base.,2025-07-28,14,26
Blackberry,Made with 100% NC blackberries.,2025-07-28,14,26
Summer Corn with Blueberry Swirl,"Sweet local corn, with a swirl of fresh local blueberries!",2025-07-28,14,26
Banana Cinnamon (Vegan),A vegan pea protein base with fresh bananas and cinnamon blended in.,2025-07-28,14,26
Strawberry Watermelon Sorbet (Vegan),With strawberries. And watermelon!,2025-07-28,14,26
Vegan Chocolate (Vegan),Bittersweet chocolate is melted into a coconut milk base for a super smooth and creamy vegan ice cream. Probably the best vegan ice cream we’ve made yet. (Now soy-free!),2025-07-28,14,26
