flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2024-11-12,14,18
Chocolate,Made with cocoa powder and Callebaut chocolate.,2024-11-12,14,18
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2024-11-12,14,18
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2024-11-12,14,18
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2024-11-12,14,18
Milk Chocolate Molasses Stracciatella,Our milk chocolate ice cream with Muddy Pond sorghum molasses and housemade magic shell.,2024-11-12,14,18
Bourbon Pecan Pie,A bourbon-vanilla base with whole bourbon pecan pies smashed in.,2024-11-12,14,18
Pumpkin Rum Cake,Pumpkin ice cream with chunks of Chez Moi Bakery rum cake and a brown sugar swirl.,2024-11-12,14,18
Pumpkin Pie,? IT IS FALL! ? Celebrate with our pumpkin pie ice cream.,2024-11-12,14,18
Sweet potato,"Roasted local sweet potatoes, dark brown sugar, and a bit of cinnamon. Our favorite flavor! Try it in a waffle cone with whipped cream, or in a dish with pralined pecans.",2024-11-12,14,18
Coconut Cream Pie (Vegan),A coconut cream base with crushed graham crackers and toasted coconut flakes!,2024-11-12,14,18
Chocolate Espresso Almond (Vegan),Our vegan chocolate ice cream with the addition of Big Spoon Roasters’ Tigerwalk Espresso Almond+Hazelnut Butter.,2024-11-12,14,18
Pumpkin Cookies and Cream (Vegan),"A vegan version of our classic pumpkin ice cream, with the addition of Oreos. Happy fall!",2024-11-12,14,18
