flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2026-02-05,14,45
Chocolate,Made with cocoa powder and Callebaut chocolate.,2026-02-05,14,45
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2026-02-05,14,45
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2026-02-05,14,45
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk.,2026-02-05,14,45
Blackberry Amaretti Cheesecake,Blackberry cream cheese base with gluten free almond cookie crumbles,2026-02-05,14,45
Malted Milk Chocolate Cookie Gravel,"A malty milk chocolate base, with crumbs of cookies throughout",2026-02-05,14,45
Raspberry Truffle,Vanilla ice cream with chocolate-raspberry truffles and raspberry swirl.,2026-02-05,14,45
Chocolate Chip Cookie Dough,Featuring chunks of cookie dough we make from scratch,2026-02-05,14,45
Vegan Salted Caramel (Vegan),"The vegan counterpart to our wildly popular Salted Butter Caramel. We caramelize sugar, skipping the butter and cream, and add it to a coconut milk and pea protein base. The coconut is noticeable but not dominant and blends deliciously with the caramel flavor.",2026-02-05,14,45
Coffee Cookies + Cream (Vegan),vegan coffee base with sandwich cookie pieces!,2026-02-05,14,45
