flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2024-03-26,14,17
Chocolate,Made with cocoa powder and Callebaut chocolate.,2024-03-26,14,17
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2024-03-26,14,17
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2024-03-26,14,17
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2024-03-26,14,17
Tiramisu,Mascarpone and espresso ice cream with ladyfingers mixed in. (Contains alcohol),2024-03-26,14,17
Milk Chocolate Tahini,Made with Callebaut milk chocolate and tahini – like a chocolate-covered halva bar!,2024-03-26,14,17
Coney Island Adventure,A vanilla-caramel ice cream with chocolate-covered waffle cones and Caramel Delites.,2024-03-26,14,17
Irish Coffee,"Made with coffee, whiskey, and Irish cream!",2024-03-26,14,17
Guava Cheesecake,Guava ice cream with cheesecake pieces.,2024-03-26,14,17
Mango Tajín Sorbet (Vegan),Pretty much exactly what it sounds like.,2024-03-26,14,17
Mexican Chocolate (Vegan),"Our (coconut-based) vegan chocolate flavor, with ancho chile, cinnamon, and cayenne pepper.",2024-03-26,14,17
Vegan Black Sesame (Vegan),Our coconut milk ice cream base blended with Japanese black sesame paste.,2024-03-26,14,17
