flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2024-09-30,14,18
Chocolate,Made with cocoa powder and Callebaut chocolate.,2024-09-30,14,18
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2024-09-30,14,18
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2024-09-30,14,18
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2024-09-30,14,18
Harvest Spice,"A brown sugar butterscotch base with cinnamon, ginger, nutmeg, and cloves.",2024-09-30,14,18
White Chocolate Orange,A smooth white chocolate and orange ice cream.,2024-09-30,14,18
Butter Brickle,There’s a lot of different opinions about butter brickle ice cream…this one is made with Skor butter almond toffee.,2024-09-30,14,18
Sugar Cone Sprinkle,A vanilla ice cream base with white and dark chocolate coated sugar cone pieces and sprinkles mixed in.,2024-09-30,14,18
London Fog,Rishi London Fog is combined with NC dairy and Madagascar vanilla extract for an ice cream reminiscent of that well-known coffeehouse beverage.,2024-09-30,14,18
Caramel Stracciatella (Vegan),A coconut cream+oat milk caramel base with housemade magic shell mixed in.,2024-09-30,14,18
Lemon Lime Sorbet (Vegan),🍋🍋‍🟩,2024-09-30,14,18
Vegan Spiced Apple Butter (Vegan),A coconut cream base with housemade NC apple butter and warming spices.,2024-09-30,14,18
