flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2024-08-22,14,18
Chocolate,Made with cocoa powder and Callebaut chocolate.,2024-08-22,14,18
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2024-08-22,14,18
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2024-08-22,14,18
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2024-08-22,14,18
Reverse S’mores,Vanilla ice cream base with mini marshmallows and chocolate cookie crumble,2024-08-22,14,18
Root Beer Float,"Vanilla bean ice cream and root beer ice cream, swirled together!",2024-08-22,14,18
Pistachio Toffee Cookie,"A sweet cream base with a hint of pistachio, with Ashleigh Bakes Daily’s chocolate chip pistachio toffee cookie pieces mixed in.",2024-08-22,14,18
Pineapple Coconut Upside Down Cake,"Made with coconut cream, housemade pineapple jam, and Chez Moi Bakery rum cake.",2024-08-22,14,18
Banana pudding,Vanilla wafer pieces in a banana ice cream base.,2024-08-22,14,18
Tangerine Honey Vanilla Kombucha Sorbet,"Made with Homebucha “Sunburst”, fresh citrus, and wildflower honey.",2024-08-22,14,18
Vegan Chocolate Mint (Vegan),"Chocolate and mint, a classic combo! Made with our coconut cream base.",2024-08-22,14,18
Coffee Cookies+Cream (Vegan),"Our vegan coconut cream base, with lots of espresso and crushed sandwich cookies.",2024-08-22,14,18
