flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2025-05-01,14,19
Chocolate,Made with cocoa powder and Callebaut chocolate.,2025-05-01,14,19
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2025-05-01,14,19
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2025-05-01,14,19
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2025-05-01,14,19
Key Lime Pie,"We make a key lime ice cream base with sweetened condensed milk, then mix in a graham cracker crust crumble and a marshmallow meringue swirl. Wow!",2025-05-01,14,19
Milk Chocolate Nutella Crunch,Milk chocolate and Nutella ice cream with candied hazelnut crunch mixed in.,2025-05-01,14,19
White Chocolate Amaretto,White chocolate ice cream with almond flavor.,2025-05-01,14,19
Brown Butter Birthday Cake,A brown butter ice cream with pieces of vanilla buttercream-frosted chocolate cake and rainbow sprinkles.,2025-05-01,14,19
Banana Split (Vegan),"Banana and roasted pineapple base, with toasted walnuts, chocolate shards, and strawberry sauce",2025-05-01,14,19
Vegan Vietnamese Coffee (Vegan),A vegan base made with cold-brewed espresso and sweetened condensed oat milk.,2025-05-01,14,19
Tropical Delight Sorbet (Vegan),"A sorbet made with passionfruit, guava, and lime. Refreshing!",2025-05-01,14,19
Vegan Chocolate (Vegan),Both semi-sweet and dark chocolate are melted into a coconut milk base for a super smooth and creamy vegan ice cream. Probably the best vegan ice cream we’ve made yet.,2025-05-01,14,19
