flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2024-10-26,14,15
Chocolate,Made with cocoa powder and Callebaut chocolate.,2024-10-26,14,15
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2024-10-26,14,15
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2024-10-26,14,15
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk,2024-10-26,14,15
Cookie Butter Snickerdoodle with Pumpkin Caramel Swirl,Cookie butter ice cream with chunks of housemade snickerdoodles and a pumpkin caramel swirl.,2024-10-26,14,15
Monkey Bread,Cinnamon ice cream with chunks of housemade monkey bread.,2024-10-26,14,15
Honey Butter Pretzel,A salted Irish butter and honey base with chunks of candied pretzel crunch.,2024-10-26,14,15
Brown Sugar Gingersnap,A spiced brown sugar base with housemade gluten-free gingersnaps mixed in.,2024-10-26,14,15
Vegan Maple Pecan (Vegan),Our coconut cream base with maple and toasted pecans.,2024-10-26,14,15
Apricot Sorbet (Vegan),NA,2024-10-26,14,15
Dirty Chai Coffee Cake (Vegan),Chai-espresso ice cream with chunks of cinnamon coffee cake.,2024-10-26,14,15
