flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2025-10-30,14,24
Chocolate,Made with cocoa powder and Callebaut chocolate.,2025-10-30,14,24
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2025-10-30,14,24
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2025-10-30,14,24
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk.,2025-10-30,14,24
Spiced Apple Crisp,NC apple butter ice cream with a spiced cookie crunch mixed in.,2025-10-30,14,24
Tea & Toast,London Fog ice cream with housemade toasted brioche and orange marmalade.,2025-10-30,14,24
Death by Chocolate,"Chocolate ice cream made with 66% dark chocolate and black cocoa powder, with brownies and fudge mixed in.",2025-10-30,14,24
Salty Malty Toffee,A salted vanilla malt base with Heath toffee pieces.,2025-10-30,14,24
Pumpkin Stracciatella,Our seasonal pumpkin ice cream with the addition of dark chocolate flake.,2025-10-30,14,24
Vegan S’mores (Vegan),"We add torched Dandies marshmallows to our vegan coconut cream base, then mix in lots of chocolate-covered graham cracker pieces.",2025-10-30,14,24
Vegan Pumpkin Spice Latte (Vegan),"Made with pumpkin, espresso, and warming spices.",2025-10-30,14,24
Caramel Apple Sorbet (Vegan),"Made with apple cider, apple purée, and caramel.",2025-10-30,14,24
