flavor,description,date,hour,minute
Vanilla,We use a combination of double-fold Mexican vanilla extract and Madagascar bourbon vanilla paste for this classic flavor.,2025-12-28,14,22
Chocolate,Made with cocoa powder and Callebaut chocolate.,2025-12-28,14,22
Cookies and Cream,Vanilla ice cream with Oreo sandwich cookie pieces.,2025-12-28,14,22
Salted Butter Caramel,"Made with butter, cream, and lots of coarse sea salt, this is our most popular flavor.",2025-12-28,14,22
Vietnamese Coffee,Made with cold-brewed Bean Traders espresso beans and sweetened condensed milk.,2025-12-28,14,22
Tuxedo Peppermint Bark,A peppermint ice cream base with lots of white and dark chocolate peppermint bark pieces mixed in.,2025-12-28,14,22
Santa's Milk and Cookies,A sweet cream ice cream base with pieces of brown butter chocolate chip cookies and butter cookies.,2025-12-28,14,22
Eggnog Gingerbread,Gluten free! Eggnog ice cream with chunks of gluten free gingerbread and a splash of rum extract (no booze),2025-12-28,14,22
Mulled Wine,"Red wine cooked down to a syrup with star anise, cinnamon and clove, blended into our ice cream base.",2025-12-28,14,22
Blood Orange Cardamom Sorbet (Vegan),Made with blood orange. And…cardamom.,2025-12-28,14,22
Vegan Peppermint Brownie (Vegan),Mint ice cream with pieces of peppermint brownies mixed in. *Vegan brownies are gluten free and contain almond flour,2025-12-28,14,22
Vegan Coquito with Nutmeg Cookies (Vegan),"A rich vegan coconut base with coconut cream, nutmeg, cinnamon, ginger, allspice, spiced rum, and nutmeg cookies.",2025-12-28,14,22
